,obs0,obs1,obs2,obs3,obs4,obs5,obs6,next_obs0,next_obs1,next_obs2,next_obs3,next_obs4,next_obs5,next_obs6,env_id0,env_vec0,env_vec1
964,-0.14169355000650882,0.5456711327478144,0.12799527056651647,0.03692641072663904,0.6805398378047915,-0.2731422612747705,-0.1900848535104733,-0.1359146373805118,0.5473383388893885,0.10776410207919551,0.031089754155375994,0.669774367427982,-0.2597315914369713,-0.21059527804415087,19.0,0.30000000000000004,0.4
965,-0.13551187218429128,0.5474545359410155,0.1207815394461778,0.034845261969797016,0.6694719562569844,-0.256021949792518,-0.2140255407229359,-0.13005865535679803,0.5490277794168265,0.10169058660176186,0.02933755560865106,0.6618579353149466,-0.24406156644066998,-0.23262973642486162,19.0,0.30000000000000004,0.4
966,-0.12967858974797095,0.5491374276773638,0.11397436957178375,0.032881405418259436,0.6648704647699899,-0.24811180617807949,-0.24863898771125964,-0.12453271271327108,0.5506220041628157,0.09595937055004529,0.027684109844974884,0.6691420306335647,-0.25312353258564124,-0.2771052762536164,19.0,0.30000000000000004,0.4
967,-0.12417406735769261,0.5507254727179168,0.10755084741302019,0.031028230558779728,0.6662393488645921,-0.24661716292668845,-0.27383085459147144,-0.11931820864275057,0.5521263794275542,0.09055116214858538,0.026123851221014342,0.6708511143285072,-0.24348896677196277,-0.2757434912151721,19.0,0.30000000000000004,0.4
968,-0.11897977630872555,0.5522240165614425,0.10148935083140308,0.029279499442385913,0.6707894560001567,-0.2415929024701833,-0.27611709106398824,-0.11439759066758463,0.5535459690700123,0.08544775689397777,0.024651527769514663,0.6715946448348975,-0.237474314095548,-0.2782726463841959,19.0,0.30000000000000004,0.4
969,-0.1140782321622197,0.5536381034378367,0.09576947629826559,0.0276293256868977,0.670098125479963,-0.23342818861265355,-0.27740755472476114,-0.10975429555647176,0.5548855515533265,0.08063197627692059,0.023262183520717388,0.6656592835303997,-0.22302246306974768,-0.2775806775382739,19.0,0.30000000000000004,0.4
970,-0.09630781135545172,0.5557614077003445,0.5466600610900043,-0.14263262515602373,0.6328803554135232,-0.17563571866735647,-0.2856559426394898,-0.06948903888714571,0.548476132874067,0.538272123655363,-0.1520087384447949,0.618702644514124,-0.15540038625478814,-0.2859163470332211,19.0,0.30000000000000004,0.4
971,-0.06852238016882778,0.5483245154335374,0.6116747448058006,-0.17330659149054173,0.615347378595078,-0.15085993726934296,-0.2860539413296286,-0.03611229962961433,0.5384470071119514,0.6681242578137792,-0.21231727466584616,0.5979418301273881,-0.1284858329632084,-0.2868414163937418,19.0,0.30000000000000004,0.4
972,-0.035526299763307415,0.5384808244793219,0.6830937980392322,-0.20913375334599701,0.5952736533287359,-0.12372798570638113,-0.2848267233595132,-0.0020696037966643653,0.5278822256224728,0.6513613758511939,-0.2095349965667121,0.579840009848891,-0.10179027059401674,-0.2798379363312773,19.0,0.30000000000000004,0.4
973,-0.0005017650184558475,0.5274593579598903,0.7168119144747164,-0.2301683255485596,0.5730411124724903,-0.09522756186397796,-0.2817796200498504,0.03599914666782246,0.5150823248347535,0.7443828992169206,-0.2623608756569588,0.552539773421113,-0.0717491077296917,-0.2799421007734111,19.0,0.30000000000000004,0.4
974,0.03587999843138316,0.5155034029170474,0.7368176474230954,-0.2462605831110325,0.5475483269234978,-0.06589866217298501,-0.278823405701506,0.07272853718978982,0.5025551295711846,0.7378141815380073,-0.26791691227602155,0.5253483666068168,-0.04305306677559395,-0.2770954434444576,19.0,0.30000000000000004,0.4
975,0.07585624042534046,0.5013351987378244,0.8449718565126401,-0.3113386289849006,0.5177596898363624,-0.0358359484535154,-0.27676664051513084,0.12028016196322423,0.4835147297353571,0.9137017983115456,-0.38639934730203346,0.4907948110548843,-0.011728216741008823,-0.275686956825473,19.0,0.30000000000000004,0.4
976,0.11770879576244579,0.48568558281743945,0.8252927082755224,-0.31042464147053916,0.4853970955976853,-0.00734359484697375,-0.275973809335082,0.15709781933687467,0.47026664149973885,0.7622446853186307,-0.30621606677998336,0.459502675519461,0.013390690194610838,-0.2751928334582061,19.0,0.30000000000000004,0.4
977,0.1610294128933731,0.46839289368896325,0.8947315010098161,-0.3710074521459473,0.4506998625597797,0.019940733858331672,-0.2750325644676756,0.20634503824840447,0.4480173149091926,0.9124684515490127,-0.4312371080094511,0.42120995862930777,0.040878726715912805,-0.2739329030126919,19.0,0.30000000000000004,0.4
978,0.20670397234504212,0.44866445557836654,0.9233531213876569,-0.4088158984222294,0.4135561110638533,0.046059106426456164,-0.27349490639195073,0.2483928330960955,0.4302066536092477,0.7774062243702431,-0.3441977036665299,0.3815469814580451,0.06607952719521837,-0.27215646209558886,19.0,0.30000000000000004,0.4
979,0.25129836624173835,0.42892022470591934,0.8713135333830789,-0.3857752973446679,0.37117274449599846,0.07213151060634077,-0.27156392612071056,0.2906376696158647,0.41150269258339983,0.7335921096059771,-0.3247989424818498,0.3318678775052254,0.09298600344222613,-0.2696791341296463,19.0,0.30000000000000004,0.4
980,0.2933794487823086,0.4102887659856097,0.8222068630856685,-0.36403324972372136,0.32079573525622157,0.09864523020118099,-0.2682071274215382,0.3305016143219951,0.39385287477025505,0.6922473301678226,-0.30649348299991686,0.2742732420206348,0.11887581141364584,-0.2642054375139415,19.0,0.30000000000000004,0.4
981,0.3330888685781784,0.39270736429469755,0.7758678131399535,-0.3435165699218273,0.2652917469956827,0.1218310678620938,-0.26507160361363435,0.36811885274567235,0.37719778933638837,0.6532327159051193,-0.28921970743999503,0.2191135744084038,0.1365039092493618,-0.26352140647185374,19.0,0.30000000000000004,0.4
982,0.37056029101614435,0.376116839094421,0.7321404022430938,-0.3241561969968816,0.20553221652037823,0.14102891853944194,-0.25984910731929456,0.40361600780785517,0.36148137380473305,0.6164169402073818,-0.2729194707598366,0.1542977288481502,0.15340063558442607,-0.25165636122458523,19.0,0.30000000000000004,0.4
983,0.40591984818777893,0.36046134522311685,0.6908774400981479,-0.3058869622370564,0.14452863153668322,0.15419679126513114,-0.25484402297653674,0.4371125660431225,0.3466507253433693,0.5816760779474196,-0.25753790493437534,0.0976200496662197,0.16337237136228155,-0.24335606574363378,19.0,0.30000000000000004,0.4
984,0.439286563461104,0.34568818491651276,0.6519400319586343,-0.2886473697972045,0.08417777365383224,0.16418411973106628,-0.24289836932554848,0.4687212798018205,0.33265592268995625,0.5488931883385005,-0.24302323426514574,0.035597810467604366,0.16824610252299638,-0.233172345645933,19.0,0.30000000000000004,0.4
985,0.47077275212367764,0.33174763042243455,0.6151971110966435,-0.27237938969845626,0.03440137746470198,0.1745497467880146,-0.22187914012472382,0.4985485467843542,0.31944985811238835,0.5179579213014136,-0.22932660109874467,0.006897025727603881,0.18451051115229222,-0.2013122638732915,19.0,0.30000000000000004,0.4
986,0.5004843994456943,0.31859275661283476,0.5805249976207473,-0.2570282624942249,-0.008271353209339222,0.1842711979769952,-0.19481414760199084,0.5266947681851708,0.3069880788400411,0.48876614601643387,-0.2164019013676886,-0.04157277697545471,0.18925078505122755,-0.17224211312277282,19.0,0.30000000000000004,0.4
987,0.5285215174356919,0.3061792830296998,0.5478069821586444,-0.24254231494511125,-0.04950903551007903,0.19020033848998752,-0.1673677136451563,0.5532546866519776,0.2952286374318497,0.46121960040985654,-0.20420562940008258,-0.08105715399709726,0.19251066593392474,-0.14554481295700772,19.0,0.30000000000000004,0.4
988,0.5549784814897364,0.29446542483314764,0.5169329330031877,-0.22887278608225156,-0.0902121850838437,0.19194880933641845,-0.13989907543467878,0.578317705197798,0.2841319505775462,0.43522556039524746,-0.19269673147571598,-0.12282930816587392,0.1900697758636563,-0.11755403887251976,19.0,0.30000000000000004,0.4
989,0.5799443480672756,0.28341175214999526,0.4877989253994055,-0.21597366307362328,-0.12988742144999432,0.1895006804538456,-0.11396413609206135,0.6019681881393465,0.2736606658567686,0.4106965277560418,-0.18183646763564282,-0.1601582453337568,0.1849740318717618,-0.0951115723941176,19.0,0.30000000000000004,0.4
990,0.6035031544629855,0.27298105734935035,0.4603068917246708,-0.20380152634082038,-0.17416956927709557,0.18165245355249227,-0.08744397392295983,0.6242857450747127,0.2637795360075412,0.38754993561888035,-0.17158828128008505,-0.21582443902205742,0.16921063687056054,-0.06632272457862716,19.0,0.30000000000000004,0.4
991,0.6257342016836684,0.26313822979846496,0.4343642913844887,-0.19231540340494768,-0.2184842553116007,0.16991078973605844,-0.06127000406265095,0.6453454988562431,0.25445530028090124,0.3657078705262775,-0.1619176761157144,-0.24151612491961905,0.1607782788995984,-0.03946037479637819,19.0,0.30000000000000004,0.4
992,0.6467123213823909,0.25385013767726916,0.40988379931274616,-0.1814766309696662,-0.24535249149903954,0.15815485950147112,-0.03262246720396736,0.6652183384606477,0.24565657248230358,0.3450968101730966,-0.1527921000381058,-0.2564583677984844,0.14926023528249377,-0.007591218598364272,19.0,0.30000000000000004,0.4
993,0.6665081277483856,0.24508551645376114,0.3867830120278877,-0.17124872477714972,-0.25586296439205497,0.1495245837632747,-0.0024699119156000177,0.6839711576075049,0.23735373532293982,0.3256473759240274,-0.1441808355585015,-0.2569677934924552,0.14630452160023455,0.021321717863188566,19.0,0.30000000000000004,0.4
994,0.685188255200601,0.23681486364485277,0.36498417025557456,-0.16159725679887582,-0.2585497287275563,0.14336760801250487,0.02874990133268246,0.7016670799293856,0.2295188407253481,0.3072940992790206,-0.13605489640605223,-0.2557810675083442,0.13911624346848045,0.055229895419508075,19.0,0.30000000000000004,0.4
995,0.7028155826849932,0.22901033950842634,0.3444138971841539,-0.15248973934786492,-0.26452302294732233,0.12815429475112391,0.05802346970924493,0.718365671451531,0.22212551574773573,0.2899752015005787,-0.1283869299574892,-0.2752234232559666,0.10360256973170237,0.07714483150853349,19.0,0.30000000000000004,0.4
996,0.7194494453305694,0.22164567333232288,0.3250029514718801,-0.14389551572227896,-0.2733153546512296,0.10456358377294375,0.0839090329336789,0.7341231410963135,0.21514887381034611,0.27363238566111275,-0.12115112516579751,-0.279480014129976,0.08360522016807226,0.1026643811206891,19.0,0.30000000000000004,0.4
997,0.7351458341766316,0.2146960750048229,0.30668599417449116,-0.13578565701227652,-0.2854315883709086,0.06997694353193853,0.10322647789401238,0.7489925298873953,0.20856543092505,0.2582106404103749,-0.11432312567796968,-0.29799594647379896,0.029769107412982387,0.10963068681687298,19.0,0.30000000000000004,0.4
998,0.7499575846435207,0.20813815156895799,0.28940136880859674,-0.12813286472276725,-0.2953965364402737,0.03209128997610192,0.11716022786133495,0.763023889490462,0.20235302664618388,0.24365805480243313,-0.10787994784938751,-0.29912534457688067,0.006799484748884102,0.12812248021367645,19.0,0.30000000000000004,0.4
999,0.7639345543812723,0.2019498284797677,0.2730908938105516,-0.12091137888428524,-0.2999416632010403,-0.0009753908409061568,0.12948563373534083,0.7762644506915151,0.19649074947654788,0.2299256435588781,-0.10179990337885984,-0.3007474534571703,-0.024437886911569798,0.13821360864024956,19.0,0.30000000000000004,0.4
1000,-0.279095876668338,0.5060308028617676,0.2883374087939352,0.08318483595412629,0.5621186182409719,-0.39045034531807526,-0.1482648046318662,-0.26484572923123734,0.5101419453660844,0.2827943218956951,0.08158566512076729,0.574071484532297,-0.39804397820317644,-0.12506389907286963,20.0,0.4,0.0
1001,-0.26517029209503257,0.5100483095499948,0.27208689789795887,0.0784965921056889,0.5907800678869715,-0.40467697187650414,-0.11532140795409235,-0.2517232738015435,0.5139277507071269,0.26685621581189334,0.07698754951188344,0.622252214495787,-0.42020041588450113,-0.0915300742671381,20.0,0.4,0.0
1002,-0.25202954451109966,0.5138393921454038,0.2567522553434677,0.07407257466498926,0.6198485900697339,-0.42041796119929675,-0.08837549392790257,-0.23934039151927497,0.5175001904942441,0.25181637113530686,0.07264858074112816,0.6381451654922801,-0.43094483981315324,-0.07181951016624055,20.0,0.4,0.0
1003,-0.23962940100863922,0.5174168117642259,0.24228186337983815,0.06989789200164227,0.6404301446468467,-0.43046308152413015,-0.07039957601169042,-0.2276554005175493,0.520871289872815,0.2376241624308025,0.06855415345939227,0.6513070914976642,-0.4317963519660036,-0.06217069023293034,20.0,0.4,0.0
1004,-0.2279281216179889,0.52079261031439,0.2286270133996703,0.06595849176797283,0.6572764447914929,-0.43159355056740745,-0.062067830078530506,-0.21662896809269086,0.5240523962587594,0.22423181748020782,0.06469048546564797,0.670413946726479,-0.4262040808886868,-0.06198486378661594,20.0,0.4,0.0
1005,-0.21688631880732864,0.5239781510296394,0.21574174198134707,0.06224111359758207,0.6750325810020419,-0.4272038168794834,-0.06182423893255126,-0.2062239783069038,0.5270542175349354,0.21159425647683883,0.06104457131485247,0.6901682474732569,-0.42170815365104564,-0.06666897392900889,20.0,0.4,0.0
1006,-0.20646682490079707,0.5269841567191726,0.20358267617212925,0.058733244469792056,0.6916521449384159,-0.42041713096593747,-0.06603033962499093,-0.19640540705277282,0.5298868580948098,0.1996689402829201,0.05760413854048023,0.7029020671199397,-0.41363359187130466,-0.07120987700110111,20.0,0.4,0.0
1007,-0.1966345669688374,0.5298207458615593,0.1921088874909957,0.0554230765897217,0.7024624030214462,-0.4105513824914083,-0.07143971434428484,-0.18714020415904836,0.5325598528547337,0.1884157272391192,0.054357606344325266,0.7060698071832698,-0.3998159405689057,-0.07583417558868526,20.0,0.4,0.0
1008,-0.18735644876964325,0.5324974666644244,0.18128175415978987,0.052299467642214395,0.7057612644578237,-0.3963690322462291,-0.0768660645358531,-0.17839718214087422,0.5350821993493049,0.17779673804420404,0.051294046614519466,0.703262482445229,-0.3817920200322171,-0.0811521505343469,20.0,0.4,0.0
1009,-0.17860123934430824,0.5350233292045536,0.17106483109892984,0.04935190328582885,0.7067673578757345,-0.3795842887071774,-0.08681343329403594,-0.17014691121998007,0.5374623880178595,0.1677762282499953,0.04840314714055046,0.7080381210303281,-0.36558491515131053,-0.10003162762910094,20.0,0.4,0.0
1010,-0.17033946789068174,0.5374068357566,0.16142372725007678,0.0465704617606444,0.7061695950434519,-0.3586741002049547,-0.10361945942682754,-0.16236162026146944,0.5397084307840332,0.1583204679424215,0.0456751769014574,0.7031518031970354,-0.3387038939792064,-0.12166625850876683,20.0,0.4,0.0
1011,-0.1625433245620662,0.539656009412486,0.15232598981281895,0.04394578049074765,0.7035814793338675,-0.33622649208960426,-0.1238148872484782,-0.15501510329374552,0.5418278880245989,0.1493976282036726,0.0431009533103616,0.7006997427998227,-0.3189496661367702,-0.1407527231664233,20.0,0.4,0.0
1012,-0.15518656685683602,0.541778421087834,0.1437409950057016,0.041469024568981515,0.6992219478068407,-0.31447274453435686,-0.1457902249814361,-0.1480826312969147,0.5438278940183585,0.14097767397327346,0.04067181130507444,0.6941548042496475,-0.29762137492383123,-0.16474052910955492,20.0,0.4,0.0
1013,-0.1482444312838778,0.5437812150063315,0.135639844983895,0.039131857017873514,0.6915620151247911,-0.2930796705164729,-0.16732242568400962,-0.1415408689627384,0.5457151809607483,0.13303226294743825,0.03837957418073877,0.682726732188805,-0.2758372192859927,-0.1831568906458297,20.0,0.4,0.0
1014,-0.14169355000650882,0.5456711327478144,0.12799527056651647,0.03692641072663904,0.6805398378047915,-0.2731422612747705,-0.1900848535104733,-0.1353677961459407,0.547496101625001,0.12553465017639215,0.03621652606632377,0.669774367427982,-0.2597315914369713,-0.21059527804415087,20.0,0.4,0.0
1015,-0.13551187218429128,0.5474545359410155,0.1207815394461778,0.034845261969797016,0.6694719562569844,-0.256021949792518,-0.2140255407229359,-0.12954263374246955,0.5491766507461356,0.11845959803852696,0.03417538595232692,0.6618579353149466,-0.24406156644066998,-0.23262973642486162,20.0,0.4,0.0
1016,-0.12967858974797095,0.5491374276773638,0.11397436957178375,0.032881405418259436,0.6648704647699899,-0.24811180617807949,-0.24863898771125964,-0.12404577374521202,0.5507624851997617,0.11178329128835492,0.03224928318225802,0.6691420306335647,-0.25312353258564124,-0.2771052762536164,20.0,0.4,0.0
1017,-0.12417406735769261,0.5507254727179168,0.10755084741302019,0.031028230558779728,0.6662393488645921,-0.24661716292668845,-0.27383085459147144,-0.1188587132417237,0.5522589430436177,0.10548325689230563,0.030431734325407307,0.6708511143285072,-0.24348896677196277,-0.2757434912151721,20.0,0.4,0.0
1018,-0.11897977630872555,0.5522240165614425,0.10148935083140308,0.029279499442385913,0.6707894560001567,-0.2415929024701833,-0.27611709106398824,-0.11396399213180418,0.5536710614859417,0.09953828838252574,0.028716621353049577,0.6715946448348975,-0.237474314095548,-0.2782726463841959,20.0,0.4,0.0
1019,-0.1140782321622197,0.5536381034378367,0.09576947629826559,0.0276293256868977,0.670098125479963,-0.23342818861265355,-0.27740755472476114,-0.10934513435526977,0.5550035938411556,0.09392837447404956,0.027098171044623358,0.6656592835303997,-0.22302246306974768,-0.2775806775382739,20.0,0.4,0.0
1020,-0.09630781135545172,0.5557614077003445,0.5466600610900043,-0.14263262515602373,0.6328803554135232,-0.17563571866735647,-0.2856559426394898,-0.06878259888162853,0.5485041365672221,0.5621453467156764,-0.15084785096857464,0.6184614219487614,-0.15505150188749373,-0.2858947577952993,20.0,0.4,0.0
1021,-0.06852238016882778,0.5483245154335374,0.6116747448058006,-0.17330659149054173,0.615347378595078,-0.15085993726934296,-0.2860539413296286,-0.03548700534508767,0.538560896845039,0.6881087340837486,-0.20810376278102452,0.5977519182794446,-0.12823827917890404,-0.2868316784513202,20.0,0.4,0.0
1022,-0.035526299763307415,0.5384808244793219,0.6830937980392322,-0.20913375334599701,0.5952736533287359,-0.12372798570638113,-0.2848267233595132,-0.0011594309593384563,0.5278739611294101,0.6840291796770234,-0.21138754908450383,0.5796497001528069,-0.10154434285724334,-0.2797999785725249,20.0,0.4,0.0
1023,-0.0005017650184558475,0.5274593579598903,0.7168119144747164,-0.2301683255485596,0.5730411124724903,-0.09522756186397796,-0.2817796200498504,0.037072670272522645,0.5150511131008252,0.7800582386035199,-0.26332737701281356,0.5521318662771314,-0.07130530053716982,-0.27990722015128267,20.0,0.4,0.0
1024,0.03587999843138316,0.5155034029170474,0.7368176474230954,-0.2462605831110325,0.5475483269234978,-0.06589866217298501,-0.278823405701506,0.07387434466891447,0.5025253029832065,0.775704286047765,-0.26891603297314254,0.5248992832656457,-0.042619038672038534,-0.2770725968732821,20.0,0.4,0.0
1025,0.07585624042534046,0.5013351987378244,0.8449718565126401,-0.3113386289849006,0.5177596898363624,-0.0358359484535154,-0.27676664051513084,0.12184889687485066,0.483412478084716,0.9667310162938846,-0.39004071656482037,0.49022551994470354,-0.011227879182781147,-0.2756116817136027,20.0,0.4,0.0
1026,0.11770879576244579,0.48568558281743945,0.8252927082755224,-0.31042464147053916,0.4853970955976853,-0.00734359484697375,-0.275973809335082,0.1586603596219288,0.4702352871296268,0.8142501911062617,-0.3076554309876984,0.45894169614305913,0.013820073562109514,-0.2751703626934304,20.0,0.4,0.0
1027,0.1610294128933731,0.46839289368896325,0.8947315010098161,-0.3710074521459473,0.4506998625597797,0.019940733858331672,-0.2750325644676756,0.20819668379027023,0.4478904704917023,0.969366923144261,-0.43189055288586015,0.420525805387064,0.0413260177327906,-0.2739182261982318,20.0,0.4,0.0
1028,0.20670397234504212,0.44866445557836654,0.9233531213876569,-0.4088158984222294,0.4135561110638533,0.046059106426456164,-0.27349490639195073,0.2523377254238344,0.4284600469602987,0.9056022974102144,-0.4009566960391073,0.3815469814580451,0.06607952719521837,-0.27215646209558886,20.0,0.4,0.0
1029,0.25129836624173835,0.42892022470591934,0.8713135333830789,-0.3857752973446679,0.37117274449599846,0.07213151060634077,-0.27156392612071056,0.2943602303494357,0.4098545235617378,0.8545631344273654,-0.37835903455268255,0.3318678775052254,0.09298600344222613,-0.2696791341296463,20.0,0.4,0.0
1030,0.2933794487823086,0.4102887659856097,0.8222068630856685,-0.36403324972372136,0.32079573525622157,0.09864523020118099,-0.2682071274215382,0.3340143739270381,0.3922975954945228,0.8064005058409502,-0.35703496273242274,0.2742732420206348,0.11887581141364584,-0.2642054375139415,20.0,0.4,0.0
1031,0.3330888685781784,0.39270736429469755,0.7758678131399535,-0.3435165699218273,0.2652917469956827,0.1218310678620938,-0.26507160361363435,0.3714336354788434,0.37573016460025366,0.7609522920226229,-0.336912701883938,0.2191135744084038,0.1365039092493618,-0.26352140647185374,20.0,0.4,0.0
1032,0.37056029101614435,0.376116839094421,0.7321404022430938,-0.3241561969968816,0.20553221652037823,0.14102891853944194,-0.25984910731929456,0.4067439715183107,0.360096463454725,0.7180655103020127,-0.31792451871388466,0.1542977288481502,0.15340063558442607,-0.25165636122458523,20.0,0.4,0.0
1033,0.40591984818777893,0.36046134522311685,0.6908774400981479,-0.3058869622370564,0.14452863153668322,0.15419679126513114,-0.25484402297653674,0.4400642397308176,0.34534386764988917,0.6775958000136503,-0.30000649733376505,0.0976200496662197,0.16337237136228155,-0.24335606574363378,20.0,0.4,0.0
1034,0.439286563461104,0.34568818491651276,0.6519400319586343,-0.2886473697972045,0.08417777365383224,0.16418411973106628,-0.24289836932554848,0.4715065990590451,0.331422718655487,0.6394069365663163,-0.28309832411344504,0.035597810467604366,0.16824610252299638,-0.233172345645933,20.0,0.4,0.0
1035,0.47077275212367764,0.33174763042243455,0.6151971110966435,-0.27237938969845626,0.03440137746470198,0.1745497467880146,-0.22187914012472382,0.5011768872398075,0.31828615666408344,0.6033703728991312,-0.26714308466019054,0.006897025727603881,0.18451051115229222,-0.2013122638732915,20.0,0.4,0.0
1036,0.5004843994456943,0.31859275661283476,0.5805249976207473,-0.2570282624942249,-0.008271353209339222,0.1842711979769952,-0.19481414760199084,0.529174977063149,0.3058899628568497,0.5693648067808823,-0.2520870722398331,-0.04157277697545471,0.18925078505122755,-0.17224211312277282,20.0,0.4,0.0
1037,0.5285215174356919,0.3061792830296998,0.5478069821586444,-0.24254231494511125,-0.04950903551007903,0.19020033848998752,-0.1673677136451563,0.5555951125529067,0.29419241055914364,0.5372757724960849,-0.23787960699519725,-0.08105715399709726,0.19251066593392474,-0.14554481295700772,20.0,0.4,0.0
1038,0.5549784814897364,0.29446542483314764,0.5169329330031877,-0.22887278608225156,-0.0902121850838437,0.19194880933641845,-0.13989907543467878,0.5805262262003537,0.2831541247848665,0.5069952555433525,-0.22447286535325967,-0.12282930816587392,0.1900697758636563,-0.11755403887251976,20.0,0.4,0.0
1039,0.5799443480672756,0.28341175214999526,0.4877989253994055,-0.21597366307362328,-0.12988742144999432,0.1895006804538456,-0.11396413609206135,0.6040522383187572,0.2727379496968098,0.478421329049119,-0.2118217190468116,-0.1601582453337568,0.1849740318717618,-0.0951115723941176,20.0,0.4,0.0
1040,0.6035031544629855,0.27298105734935035,0.4603068917246708,-0.20380152634082038,-0.17416956927709557,0.18165245355249227,-0.08744397392295983,0.6262523395265092,0.26290882353685047,0.451457810672853,-0.19988358320875702,-0.21582443902205742,0.16921063687056054,-0.06632272457862716,20.0,0.4,0.0
1041,0.6257342016836684,0.26313822979846496,0.4343642913844887,-0.19231540340494768,-0.2184842553116007,0.16991078973605844,-0.06127000406265095,0.6472012573096845,0.2536336606050012,0.42601393884886807,-0.18861827302771803,-0.24151612491961905,0.1607782788995984,-0.03946037479637819,20.0,0.4,0.0
1042,0.6467123213823909,0.25385013767726916,0.40988379931274616,-0.1814766309696662,-0.24535249149903954,0.15815485950147112,-0.03262246720396736,0.6669695075613092,0.24488123989004437,0.40200406727494065,-0.17798786848243853,-0.2564583677984844,0.14926023528249377,-0.007591218598364272,20.0,0.4,0.0
1043,0.6665081277483856,0.24508551645376114,0.3867830120278877,-0.17124872477714972,-0.25586296439205497,0.1495245837632747,-0.0024699119156000177,0.6856236319440355,0.23662209997687286,0.37934737661935186,-0.16795658669966929,-0.2569677934924552,0.14630452160023455,0.021321717863188566,20.0,0.4,0.0
1044,0.685188255200601,0.23681486364485277,0.36498417025557456,-0.16159725679887582,-0.2585497287275563,0.14336760801250487,0.02874990133268246,0.7032264218752098,0.22882843987678483,0.35796760247593346,-0.1584906615058816,-0.2557810675083442,0.13911624346848045,0.055229895419508075,20.0,0.4,0.0
1045,0.7028155826849932,0.22901033950842634,0.3444138971841539,-0.15248973934786492,-0.26452302294732233,0.12815429475112391,0.05802346970924493,0.7198371298882843,0.22147402544691966,0.33779277865139457,-0.14955822976736755,-0.2752234232559666,0.10360256973170237,0.07714483150853349,20.0,0.4,0.0
1046,0.7194494453305694,0.22164567333232288,0.3250029514718801,-0.14389551572227896,-0.2733153546512296,0.10456358377294375,0.0839090329336789,0.7355116690820391,0.21453410108383408,0.3187549949208082,-0.14112922413614035,-0.279480014129976,0.08360522016807226,0.1026643811206891,20.0,0.4,0.0
1047,0.7351458341766316,0.2146960750048229,0.30668599417449116,-0.13578565701227652,-0.2854315883709086,0.06997694353193853,0.10322647789401238,0.7503028013289708,0.20798530639397167,0.30079016843584305,-0.13317527184060568,-0.29799594647379896,0.029769107412982387,0.10963068681687298,20.0,0.4,0.0
1048,0.7499575846435207,0.20813815156895799,0.28940136880859674,-0.12813286472276725,-0.2953965364402737,0.03209128997610192,0.11716022786133495,0.7642603148763797,0.20180559756053093,0.2838378280162809,-0.12566959918032652,-0.29912534457688067,0.006799484748884102,0.12812248021367645,20.0,0.4,0.0
1049,0.7639345543812723,0.2019498284797677,0.2730908938105516,-0.12091137888428524,-0.2999416632010403,-0.0009753908409061568,0.12948563373534083,0.7774311919379729,0.19597417314204638,0.26784091059872434,-0.1185869414034011,-0.3007474534571703,-0.024437886911569798,0.13821360864024956,20.0,0.4,0.0
1050,-0.279095876668338,0.5060308028617676,0.2883374087939352,0.08318483595412629,0.5621186182409719,-0.39045034531807526,-0.1482648046318662,-0.26517029209503257,0.5100483095499948,0.27208689789795887,0.0784965921056889,0.574071484532297,-0.39804397820317644,-0.12506389907286963,21.0,0.4,0.1
1051,-0.26517029209503257,0.5100483095499948,0.27208689789795887,0.0784965921056889,0.5907800678869715,-0.40467697187650414,-0.11532140795409235,-0.25202954451109966,0.5138393921454038,0.2567522553434677,0.07407257466498926,0.622252214495787,-0.42020041588450113,-0.0915300742671381,21.0,0.4,0.1
1052,-0.25202954451109966,0.5138393921454038,0.2567522553434677,0.07407257466498926,0.6198485900697339,-0.42041796119929675,-0.08837549392790257,-0.23962940100863922,0.5174168117642259,0.24228186337983815,0.06989789200164227,0.6381451654922801,-0.43094483981315324,-0.07181951016624055,21.0,0.4,0.1
1053,-0.23962940100863922,0.5174168117642259,0.24228186337983815,0.06989789200164227,0.6404301446468467,-0.43046308152413015,-0.07039957601169042,-0.2279281216179889,0.52079261031439,0.2286270133996703,0.06595849176797283,0.6513070914976642,-0.4317963519660036,-0.06217069023293034,21.0,0.4,0.1
1054,-0.2279281216179889,0.52079261031439,0.2286270133996703,0.06595849176797283,0.6572764447914929,-0.43159355056740745,-0.062067830078530506,-0.21688631880732864,0.5239781510296394,0.21574174198134707,0.06224111359758207,0.670413946726479,-0.4262040808886868,-0.06198486378661594,21.0,0.4,0.1
1055,-0.21688631880732864,0.5239781510296394,0.21574174198134707,0.06224111359758207,0.6750325810020419,-0.4272038168794834,-0.06182423893255126,-0.20646682490079707,0.5269841567191726,0.20358267617212925,0.058733244469792056,0.6901682474732569,-0.42170815365104564,-0.06666897392900889,21.0,0.4,0.1
1056,-0.20646682490079707,0.5269841567191726,0.20358267617212925,0.058733244469792056,0.6916521449384159,-0.42041713096593747,-0.06603033962499093,-0.1966345669688374,0.5298207458615593,0.1921088874909957,0.0554230765897217,0.7029020671199397,-0.41363359187130466,-0.07120987700110111,21.0,0.4,0.1
1057,-0.1966345669688374,0.5298207458615593,0.1921088874909957,0.0554230765897217,0.7024624030214462,-0.4105513824914083,-0.07143971434428484,-0.18735644876964325,0.5324974666644244,0.18128175415978987,0.052299467642214395,0.7060698071832698,-0.3998159405689057,-0.07583417558868526,21.0,0.4,0.1
